,Unnamed: 0,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,0,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
1,1,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
2,2,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
3,3,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
4,4,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
5,5,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
6,6,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
7,7,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
8,8,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
9,9,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
10,10,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
11,11,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
12,12,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
13,13,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
14,14,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
15,15,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
16,16,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
17,17,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
18,18,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
19,19,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
20,20,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
21,21,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
22,22,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
23,23,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
24,24,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
25,25,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
26,26,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9
27,27,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6
28,28,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3
29,29,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2
30,30,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1
31,31,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8
32,32,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20
33,33,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53
34,34,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70
35,35,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93
36,36,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75
37,37,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59
38,38,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74
39,39,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76
40,40,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65
41,41,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53
42,42,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30
43,43,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22
44,44,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31
45,45,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9
46,46,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8
47,47,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5
48,48,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2
49,49,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1
50,50,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3
51,51,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30
52,52,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64
53,53,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154
54,54,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88
55,55,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44
56,56,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51
57,57,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61
58,58,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61
59,59,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77
60,60,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72
61,61,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76
62,62,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157
63,63,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157
64,64,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110
65,65,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52
66,66,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52
67,67,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20
68,68,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12
69,69,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5
70,70,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2
71,71,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1
72,72,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2
73,73,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4
74,74,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36
75,75,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
76,76,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179
77,77,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
78,78,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42
79,79,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
80,80,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78
81,81,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97
82,82,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
83,83,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
84,84,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
85,85,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
86,86,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182
87,87,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
88,88,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
89,89,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48
90,90,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
91,91,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
92,92,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6
93,93,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6
94,94,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2
95,95,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
96,96,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
97,97,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33
98,98,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88
99,99,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195
100,100,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115
101,101,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57
102,102,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
103,103,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
104,104,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
105,105,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62
106,106,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62
107,107,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
108,108,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190
109,109,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
110,110,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
111,111,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
112,112,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43
113,113,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
114,114,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19
115,115,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11
116,116,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4
117,117,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2
118,118,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1
119,119,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4
120,120,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36
121,121,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95
122,122,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219
123,123,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122
124,124,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45
